id;customer_id;ext_customer_id;currency;account_number;available_balance;hold_balance;minimum_balance;account_type;status
1;Underpass fuchsia;Salad;visionary SQL;Mouse;42752;27818;44454;PERSONAL;ACTIVE
2;Berkshire niches;Rubber Kuwait compress;productivity;transmit;94122;11802;80663;BUSINESS;BLOCKED
3;California system Checking Account;panel Generic Fresh Computer;Communications payment Representative;Coordinator Investment Account neural;82844;29686;87433;BUSINESS;CLOSED
4;capacitor Frozen Personal Loan Account;robust Clothing Cotton;Switchable;Salad circuit New Leu;19812;10999;7509;BUSINESS;NEW
5;cross-media Security bypassing;Kazakhstan;transmitting orchid parse;Walks magenta Kids;72618;42604;14858;BUSINESS;ACTIVE
6;Colorado deposit;paradigm Seamless;Cotton extend Orchestrator;Chair Investor;27176;68185;7624;BUSINESS;BLOCKED
7;Assurance;JSON;world-class multi-byte Garden;Total solutions;56048;73656;48958;BUSINESS;BLOCKED
8;next-generation Roads granular;cyan JBOD;Applications Program;Turks and Caicos Islands;91482;65452;39625;BUSINESS;INACTIVE
9;Savings Account Extended optical;GB Leone;indigo Iraqi Dinar;South Dakota real-time integrated;40557;68889;11676;PERSONAL;CLOSED
10;Practical Incredible;driver project;innovative Assistant visionary;invoice;78833;60170;71161;PERSONAL;CLOSED
